sale_id,product_id,product_name,category,manufacturer,batch_number,expiration_date,restock_date,units_in_stock,units_sold,sale_date,unit_price,total_sale_amount,store_id,store_name,store_street_address,store_city,store_state,store_postal_code,store_country
SYN00001,P1232,Diphenhydramine 25mg,antihistamine,AllergyFree Labs,DIPH-2403C,2025-11-27,2024-11-06,88,3,2024-11-08,5.697690903194287,17.09,ST022,MetroCare Pharmacy,1220 Maple Ave,Newport,KY,41071.0,USA
SYN00002,P1021,Ibuprofen 200mg,analgesic,HealWell Pharma,IBU-2303,2026-02-16,2024-12-12,65,4,2025-01-11,7.647148165608767,30.59,ST011,City Pharmacy,823 Oak Ave,Phoenix,AZ,85001.0,USA
SYN00003,P1527,Clopidogrel 75mg,antiplatelet,CardioGen,CLO-2402Z,2025-11-29,2024-11-29,99,6,2024-12-13,13.71887246695735,82.31,ST018,HealthFirst Pharmacy,938 King St,Columbus,OH,43201.0,USA
SYN00004,P1683,Montelukast 10mg,antihistamine,AllergyFree Labs,MON-2402M,2026-07-07,2024-05-31,83,5,2024-06-06,15.376772116704831,76.88,ST019,Lakeview Pharmacy,882 Willow Ave,Duluth,MN,55802.0,USA
SYN00005,P1047,Acetaminophen 325mg,analgesic,HealWell Pharma,ACE-25C,2028-12-10,2028-01-03,54,3,2028-01-03,5.715067014687516,17.15,ST021,HealthFirst Pharmacy,3371 Maple St,Springfield,IL,62703.0,USA
SYN00006,P1001,Ibuprofen 200mg,analgesic,HealWell Pharma,IBU-24A-001,2025-11-14,2024-10-15,113,7,2024-11-05,8.1183439475493,56.83,ST001,HealthFirst Pharmacy,123 Market St,Springfield,IL,62701.0,USA
SYN00007,P1102,Vitamin C 1000mg,supplement,NutriHealth Inc,VITC-2331,2026-04-29,2025-04-30,177,3,2025-05-17,11.969697752846145,35.91,ST013,GreenLeaf Pharmacy,100 Elm Dr,Columbus,OH,43215.0,USA
SYN00008,P1121,Flu Vaccine 2027,vaccine,Vaxilife,FLU-27B,2028-03-28,2027-09-02,392,99,2027-09-29,18.29225719822685,1810.93,ST035,Seasonal RX,1120 Brookside Dr,Minneapolis,MN,55407.0,USA
SYN00009,P1032,Clopidogrel 75mg,antiplatelet,HealWell Pharma,CLO-24C-032,2026-04-24,2025-03-19,56,1,2025-04-03,20.864482006641484,20.86,ST032,Care Max,200 Main Ave,Raleigh,NC,27601.0,USA
SYN00010,P1013,Fexofenadine 180mg,antihistamine,AllergyFree Ltd,FEX-24C-013,2026-06-11,2025-05-29,63,5,2025-06-05,15.357379716326813,76.79,ST013,Sunrise Pharmacy,15 Sunrise Dr,Orlando,FL,32801.0,USA
SYN00011,P1040,Influenza Vaccine,vaccine,BioShield,FLU-24V-040,2026-01-03,2024-09-17,347,60,2024-10-06,18.905647753872216,1134.34,ST040,Giant Chemist,450 Union Ave,Seattle,WA,98101.0,USA
SYN00012,P1109,Lansoprazole 30mg,antacid,DigestAid Corp,LAN-25A,2028-07-12,2027-05-23,229,21,2027-06-13,12.767084600145578,268.11,ST040,Eastside Pharmacy,3490 Ridge Rd,Cleveland,OH,44102.0,USA
SYN00013,P1379,Estradiol 1mg,hormone,FemCare Pharma,EST-2401B,2026-05-02,2024-06-04,13,3,2024-06-10,58.169406234346624,174.51,ST026,Unity Pharmacy,101 Main St,Grand Rapids,MI,49503.0,USA
SYN00014,P1403,Probiotic Complex,supplement,NutriHealth Inc,PROB-24B,2026-07-28,2025-08-01,177,13,2025-08-06,15.661157950735513,203.6,ST044,Vibrant Life,1212 Grand Rd,Indianapolis,IN,46204.0,USA
SYN00015,P1084,Loratadine 10mg,antihistamine,Allergonix,LOR-24A,2027-08-10,2026-08-08,80,6,2026-09-09,9.47328162184528,56.84,ST024,MediValue Pharmacy,1820 Oakview Dr,Aurora,CO,80014.0,USA
SYN00016,P1201,Doxycycline 100mg,antibiotic,MediCore Labs,DOX-24B,2026-08-21,2025-09-11,78,5,2025-09-08,15.877604876817703,79.39,ST024,Peak Pharmacy,22 Ridge Ln,Denver,CO,80204.0,USA
SYN00017,P1114,Cholecalciferol 5000IU,supplement,NutriHealth Inc.,CHO-24D,2028-02-10,2027-01-06,75,3,2027-01-12,9.160752644077263,27.48,ST028,Sunrise Drugs,512 11th Ave,Seattle,WA,98122.0,USA
SYN00018,P1017,Zinc 50mg,supplement,NutriHealth Inc,ZNC-24B-017,2026-03-03,2025-02-05,114,5,2025-02-11,7.263125807929928,36.32,ST017,PrimeHealth,800 Health St,Phoenix,AZ,85004.0,USA
SYN00019,P1101,Omeprazole 20mg,antacid,DigestAid Corp,OME-25A,2028-04-15,2027-03-26,177,11,2027-04-20,10.458587187580523,115.04,ST021,HealthFirst Pharmacy,3371 Maple St,Springfield,IL,62703.0,USA
SYN00020,P9999,,,,,2099-12-19,,10,1,2098-12-30,0.009547270834916112,0.01,,,,,,,
SYN00021,P1113,Vitamin E 400IU,supplement,NutriHealth Inc.,VITE-25A,2029-02-03,2027-12-29,48,3,2028-01-08,7.844300709562023,23.53,ST021,HealthFirst Pharmacy,3371 Maple St,Springfield,IL,62703.0,USA
SYN00022,P1183,Vitamin D3 2000IU,supplement,NutriHealth Group,VD3-2024A,2026-03-10,2024-12-11,146,2,2025-01-09,12.22736485382169,24.45,ST022,GreenLife Drugstore,725 Oak Dr,Portland,OR,97205.0,USA
SYN00023,P1031,Amlodipine 5mg,antihypertensive,MediCore Labs,AML-24A-031,2026-09-28,2025-08-15,86,6,2025-09-01,9.21904451562463,55.31,ST031,HealthFirst Pharmacy,123 Market St,Springfield,IL,62701.0,USA
SYN00024,P1007,Levothyroxine 88mcg,hormone,EndoLife Corp,LEV-23Y-007,2025-09-20,2024-09-13,19,1,2024-09-21,38.94004305643547,38.94,ST007,SpecialtyRx,210 Medical Pkwy,Cleveland,OH,44114.0,USA
SYN00025,P1440,Vitamin B Complex,supplement,NutriHealth Inc,VITB-24A,2027-03-07,2026-02-20,149,10,2026-02-26,13.653926340984388,136.54,ST048,Health Express,505 State Ave,Raleigh,NC,27601.0,USA
SYN00026,P1040,Influenza Vaccine,vaccine,BioShield,FLU-24V-040,2025-12-31,2024-09-06,347,59,2024-10-02,19.680620470117045,1161.16,ST040,Giant Chemist,450 Union Ave,Seattle,WA,98101.0,USA
SYN00027,P1106,Rabeprazole 20mg,antacid,DigestAid Corp,RAB-24B,2028-01-23,2027-01-05,207,14,2027-01-11,12.549573625253489,175.69,ST029,QuickMed Pharmacy,801 Elm St,Tampa,FL,33605.0,USA
SYN00028,P1009,Influenza Vaccine,vaccine,BioShield,FLU-24V-009,2026-01-31,2024-09-23,408,70,2024-09-28,18.30094381225978,1281.07,ST009,Giant Chemist,450 Union Ave,Seattle,WA,98101.0,USA
SYN00029,P1284,Multivitamin Tablets,supplement,NutriHealth,MV-2401A,2026-01-22,2024-01-17,133,11,2024-01-25,8.192499972673891,90.12,ST018,HealthFirst Pharmacy,938 King St,Columbus,OH,43201.0,USA
SYN00030,P1017,Cetirizine 10mg,antihistamine,MediCore Labs,CET-2401,2026-06-14,2025-05-28,85,7,2025-06-30,10.047787555151439,70.33,ST017,MediPlus,145 River Rd,Denver,CO,80203.0,USA
