sale_id,product_id,product_name,category,manufacturer,batch_number,expiration_date,restock_date,units_in_stock,units_sold,sale_date,unit_price,total_sale_amount,store_id,store_name,store_street_address,store_city,store_state,store_postal_code,store_country,sale_month,sale_year,days_to_expiry,days_since_restock
SYN00001,P1232,Diphenhydramine 25mg,antihistamine,AllergyFree Labs,DIPH-2403C,2025-11-27,2024-11-06,88,3,2024-11-08,5.697690903194287,17.09,ST022,MetroCare Pharmacy,1220 Maple Ave,Newport,KY,41071,USA,11,2024,-126,512
SYN00002,P1021,Ibuprofen 200mg,analgesic,HealWell Pharma,IBU-2303,2026-02-16,2024-12-12,65,4,2025-01-11,7.647148165608767,30.59,ST011,City Pharmacy,823 Oak Ave,Phoenix,AZ,85001,USA,1,2025,-45,476
SYN00003,P1527,Clopidogrel 75mg,antiplatelet,CardioGen,CLO-2402Z,2025-11-29,2024-11-29,99,6,2024-12-13,13.71887246695735,82.31,ST018,HealthFirst Pharmacy,938 King St,Columbus,OH,43201,USA,12,2024,-124,489
SYN00004,P1683,Montelukast 10mg,antihistamine,AllergyFree Labs,MON-2402M,2026-07-07,2024-05-31,83,5,2024-06-06,15.376772116704831,76.88,ST019,Lakeview Pharmacy,882 Willow Ave,Duluth,MN,55802,USA,6,2024,96,671
SYN00005,P1047,Acetaminophen 325mg,analgesic,HealWell Pharma,ACE-25C,2028-12-10,2028-01-03,54,3,2028-01-03,5.715067014687516,17.15,ST021,HealthFirst Pharmacy,3371 Maple St,Springfield,IL,62703,USA,1,2028,983,-641
SYN00006,P1001,Ibuprofen 200mg,analgesic,HealWell Pharma,IBU-24A-001,2025-11-14,2024-10-15,113,7,2024-11-05,8.1183439475493,56.83,ST001,HealthFirst Pharmacy,123 Market St,Springfield,IL,62701,USA,11,2024,-139,534
SYN00007,P1102,Vitamin C 1000mg,supplement,NutriHealth Inc,VITC-2331,2026-04-29,2025-04-30,177,3,2025-05-17,11.969697752846145,35.91,ST013,GreenLeaf Pharmacy,100 Elm Dr,Columbus,OH,43215,USA,5,2025,27,337
SYN00008,P1121,Flu Vaccine 2027,vaccine,Vaxilife,FLU-27B,2028-03-28,2027-09-02,392,99,2027-09-29,18.29225719822685,1810.93,ST035,Seasonal RX,1120 Brookside Dr,Minneapolis,MN,55407,USA,9,2027,726,-518
SYN00009,P1032,Clopidogrel 75mg,antiplatelet,HealWell Pharma,CLO-24C-032,2026-04-24,2025-03-19,56,1,2025-04-03,20.864482006641484,20.86,ST032,Care Max,200 Main Ave,Raleigh,NC,27601,USA,4,2025,22,379
SYN00010,P1013,Fexofenadine 180mg,antihistamine,AllergyFree Ltd,FEX-24C-013,2026-06-11,2025-05-29,63,5,2025-06-05,15.357379716326813,76.79,ST013,Sunrise Pharmacy,15 Sunrise Dr,Orlando,FL,32801,USA,6,2025,70,308
